,posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz
10101,56.486,68.96300000000001,134.743,26.17527924389329,107.58561433656557,-14.39180066282049,0.039810688679466924,0.04240582582117797,0.9914413630150638,-5.29,12.55,1.06,-1.69,-2.58,-104.92,92.75496756037417,114.6675254944158,154.41453200312066,58.891990033596116,28.40453257844379,39.70365807768566
10102,57.131,70.93,134.774,21.68067226890767,66.11764705882396,1.0420168067228879,0.039810688679466924,0.04240582582117797,0.9914413630150638,-5.29,12.55,1.06,-1.69,-2.58,-104.92,94.21900358969528,115.58413973099053,154.58743078239178,70.51370607563837,54.35121292627569,33.23556801742184
10103,57.691,71.582,134.602,18.70657402458586,21.77979690005301,-5.7455905932655345,0.039810688679466924,0.04240582582117797,0.9914413630150638,-5.29,12.55,1.06,-1.69,-2.58,-104.92,95.67032674465729,116.49201466362423,154.7536797300987,72.99739031354162,74.34684701139605,36.71187139185821
10104,57.697,70.669,134.762,0.06621639517944894,-10.075928133139062,1.7657705381185338,0.03225557074511092,0.040045224112080974,0.9913505450158372,-1.18,-1.77,-1.01,-2.14,-2.39,-96.19,99.94590005655293,119.16248185099407,155.2124641926875,114.80215733545107,120.16872339745159,34.985573033075234
10105,57.977,67.86,135.74,5.006526364725339,-50.226187708977726,17.487081373934032,0.026486893652524605,0.07677053164653774,0.991316191609716,-1.18,-1.77,-1.01,-2.14,-2.39,-96.19,101.34426272958665,120.03468148350271,155.35205198101926,98.95879764894585,145.92951440993016,19.666237549488493
10106,59.577,76.155,133.931,51.441983088448104,200.0,-58.16159212937651,0.026486893652524605,0.07677053164653774,0.991316191609716,-1.18,-1.77,-1.01,-2.14,-2.39,-96.19,102.72886806613155,120.897786492474,155.4849605800354,64.51751291200037,-41.23225007224652,62.96834709589798
10107,61.041,79.01899999999998,133.727,55.255708624268685,108.09586714474443,-7.699565955841018,0.025720981224795443,0.0552320748892781,0.9911727419630472,2.67,30.74,1.52,-1.87,-4.17,-99.68,103.64419510711477,121.4681032512804,155.56985320182787,58.65692193291866,32.239843486606134,38.62666885375659
10108,62.08,80.93,133.47899999999998,17.643063338427602,32.450331125827844,-4.21124129733385,0.03130284701682442,0.04195289429619504,0.9910490317946108,6.53,-6.22,-0.8,-0.41,-3.5,-104.07,105.90497805443331,122.87594510323498,155.7690788801074,87.1319597552385,58.307761591397686,41.70380901596144
10109,62.582,82.432,133.25799999999998,16.92115818923391,50.62864462197039,-7.449354501634938,0.03130284701682442,0.04195289429619504,0.9910490317946108,6.53,-6.22,-0.8,-0.41,-3.5,-104.07,107.24227309041842,123.70824203886819,155.87968962473343,82.6460542917333,54.75815403552127,40.490213880221965
10110,62.963,83.13,133.243,12.045145585027356,22.06695962821262,-0.4742183301196541,0.03130284701682442,0.04195289429619504,0.9910490317946108,6.53,-6.22,-0.8,-0.41,-3.5,-104.07,108.12569255625372,124.25789557932676,155.94970906023528,78.44171930084791,62.34559916642158,36.924824757097355
