posx,posy,posz,velx,vely,velz,angx,angy,angz,gyrx,gyry,gryz,accx,accy,accz,tposx,tposy,tposz,tvelx,tvely,tvelz,tangx,tangy,tangz,tgyrx,tgyry,tgryz,taccx,taccy,taccz
104.722,149.013,111.286,-29.656295534413616,-3.8856032684779205,7.371217965200868,-0.0037041615123271057,-0.004550741554907651,-0.06159329213784282,-2.46,16.46,1.72,-0.16,1.25,-102.53,77.82241234902409,139.7889246173997,116.18764111441517,-53.37528728653139,-22.77198159211796,12.904556788798473,0.0,0.0,-0.06159329213784282,0.0,0.0,0.0,0.0,0.0,-102.53
103.753,148.493,111.542,-29.83833718244786,-16.012317167051894,7.882986913010016,-0.0037041615123271057,-0.004550741554907651,-0.06159329213784282,-2.46,16.46,1.72,-0.16,1.25,-102.53,76.73648951217325,139.33539930731595,116.66331349861497,-54.70620310890313,-16.951777008916576,13.332860220282283,0.0,0.0,-0.06159329213784282,0.0,0.0,0.0,0.0,0.0,-102.53
102.565,148.053,111.735,-50.80831408775992,-18.81789410657761,8.254212642203312,-0.0037041615123271057,-0.004550741554907651,-0.06159329213784282,-2.46,16.46,1.72,-0.16,1.25,-102.53,75.64618811818346,138.87721793682482,117.13682595436055,-51.29539219820723,-18.25725340119037,14.795265706730369,0.0,0.0,-0.06159329213784282,0.0,0.0,0.0,0.0,0.0,-102.53
101.658,147.618,111.917,-13.464964370546266,-6.45783847981001,2.701900237529723,-0.0014574686720632893,-0.01812169759029823,-0.05986364737958028,0.26,10.18,0.34,-1.52,1.83,-102.15,73.45273607851026,137.94695315956636,118.07733276998053,-74.57909788121802,-26.384223466126752,23.45185446346155,0.0,0.0,-0.05986364737958028,0.0,0.0,0.0,0.0,0.0,-102.15
100.86,147.209,111.894,-22.209852490954688,-11.383245198997825,-0.6401335930975824,-0.0014574686720632893,-0.01812169759029823,-0.05986364737958028,0.26,10.18,0.34,-1.52,1.83,-102.15,72.3497293444264,137.47490324223003,118.54430808462335,-60.45523149618218,-20.0245784052743,20.384233565504054,0.0,0.0,-0.05986364737958028,0.0,0.0,0.0,0.0,0.0,-102.15
99.967,147.084,112.01,-25.505540957386057,-3.5702045013138353,3.313149777219229,-0.0014574686720632893,-0.01812169759029823,-0.05986364737958028,0.26,10.18,0.34,-1.52,1.83,-102.15,71.2426318669684,136.99826424214424,119.00908538073732,-59.5112237026119,-25.042627086684025,18.949866787954615,0.0,0.0,-0.05986364737958028,0.0,0.0,0.0,0.0,0.0,-102.15
99.679,147.03,111.87,-8.611667613551317,-1.6146876775409515,-4.186227312143067,0.0036208434920800385,-0.01763309956372995,-0.059383551485285624,6.61,-8.22,-0.05,-0.67,1.52,-100.75,70.13151628240077,136.517053318261,119.47165524659664,-70.25980185500896,-27.01353935445723,23.937792271219248,0.0,0.0,-0.059383551485285624,0.0,0.0,0.0,0.0,0.0,-100.75
98.555,146.631,112.044,-29.02967535318565,-10.305018208114902,4.493917714816818,0.0036208434920800385,-0.01763309956372995,-0.059383551485285624,6.61,-8.22,-0.05,-0.67,1.52,-100.75,68.45746849415212,135.78670251541598,120.16135063556479,-67.24187857519156,-26.225085112459805,23.645438080229308,0.0,0.0,-0.059383551485285624,0.0,0.0,0.0,0.0,0.0,-100.75
97.663,146.271,111.899,-16.568838695297014,-6.686975258191798,-2.693365034549298,0.006901400635833243,-0.009538860809825675,-0.059687257695676815,-1.0,-2.93,-0.95,-0.62,1.58,-102.23,66.77479117442292,135.04616305844038,120.84602681705125,-72.40104909406905,-27.70877226009057,29.98131528371739,0.0,0.0,-0.059687257695676815,0.0,0.0,0.0,0.0,0.0,-102.23
96.986,146.78,111.905,-19.801111436092206,14.887393974846873,0.17548990933022018,0.006901400635833243,-0.009538860809825675,-0.059687257695676815,-1.0,-2.93,-0.95,-0.62,1.58,-102.23,65.64833472479367,134.54683931128048,121.29967374149953,-68.16367068384321,-39.10185115728907,25.12826440006326,0.0,0.0,-0.059687257695676815,0.0,0.0,0.0,0.0,0.0,-102.23
95.708,145.983,112.05,-34.37516811017284,-21.43740922050667,3.900156006240142,0.006901400635833243,-0.009538860809825675,-0.059687257695676815,-1.0,-2.93,-0.95,-0.62,1.58,-102.23,63.95182746058733,133.78945246563669,121.97591536755965,-68.51970714034383,-23.30515585200905,27.423418511318758,0.0,0.0,-0.059687257695676815,0.0,0.0,0.0,0.0,0.0,-102.23
94.829,145.482,112.09,-25.650752888992788,-14.620053694408917,1.1672697560408034,-0.0018422635586965782,-0.011393884324679053,-0.05877046080669602,-12.93,6.91,1.02,2.01,2.75,-97.9,62.81638243994463,133.27895359372803,122.42391063104286,-56.95540653556414,-19.721995435411575,22.58021070718554,0.0,0.0,-0.05877046080669602,0.0,0.0,0.0,0.0,0.0,-97.9
